Newglobe	REAL	VAR_GLOBAL				0	0	0	0	0	0
DNP3_EVA_Counter_100	INT	VAR_GLOBAL				0	0	0	0	0	0
DNP3_EVA_Counter_200	INT	VAR_GLOBAL				0	0	0	0	0	0
DNP3_EVA_Counter_400	INT	VAR_GLOBAL				0	0	0	0	0	0
DNP3_EVA_Counter_300	INT	VAR_GLOBAL				0	0	0	0	0	0
DNP3_EVA_Counter	INT	VAR_GLOBAL				0	0	0	0	0	0
DNP3_EVA_SIN_RESULT	REAL	VAR_GLOBAL				0	0	0	0	0	0
sinx	REAL	VAR_GLOBAL			0	0	0	0	0	0	0
DNP3_EVA_SIN_REV	REAL	VAR_GLOBAL				0	0	0	0	0	0
PLC_SYS_TICK_CNT	DINT	VAR_GLOBAL				0	0	0	0	0	0
PLC_TASK_DEFINED	INT	VAR_GLOBAL				0	0	0	0	0	0
PLCMODE_ON	BOOL	VAR_GLOBAL	TRUE : current PLC mode is ON			0	0	0	0	0	0
PLCMODE_LOADING	BOOL	VAR_GLOBAL	TRUE : current PLC mode is LOADING			0	0	0	0	0	0
PLCMODE_STOP	BOOL	VAR_GLOBAL	TRUE : current PLC mode is STOP			0	0	0	0	0	0
PLCMODE_RUN	BOOL	VAR_GLOBAL	TRUE : current PLC mode is RUN			0	0	0	0	0	0
PLCMODE_HALT	BOOL	VAR_GLOBAL	TRUE : current PLC mode is HALT			0	0	0	0	0	0
PLC_TICKS_PER_SEC	DINT	VAR_GLOBAL				0	0	0	0	0	0
PLC_MAX_ERRORS	DINT	VAR_GLOBAL				0	0	0	0	0	0
PLC_ERRORS	DINT	VAR_GLOBAL				0	0	0	0	0	0
PLC_TASK_AVAILABLE	INT	VAR_GLOBAL				0	0	0	0	0	0
PLC_SYSTASK_AVAILABLE	INT	VAR_GLOBAL				0	0	0	0	0	0
PLCDEBUG_FORCE	BOOL	VAR_GLOBAL	TRUE : current PLC mode is POWER on			0	0	0	0	0	0
PLCDEBUG_BPSET	BOOL	VAR_GLOBAL	TRUE : one or more			0	0	0	0	0	0
PLCDEBUG_POWERFLOW	BOOL	VAR_GLOBAL	TRUE : current PLC mode is POWER on			0	0	0	0	0	0
deltaTime	REAL	VAR_GLOBAL				0	0	0	0	0	0
YEAR	SINT	VAR_GLOBAL	RTU Current Year			0	0	0	0	0	0
DAY	SINT	VAR_GLOBAL	RTU Current Day			0	0	0	0	0	0
HOUR	SINT	VAR_GLOBAL	RTU Current Hour			0	0	0	0	0	0
MINUTE	SINT	VAR_GLOBAL	RTU Current Minute			0	0	0	0	0	0
MONTH	SINT	VAR_GLOBAL	RTU Current Month			0	0	0	0	0	0
SECOND	SINT	VAR_GLOBAL	RTU Current Second			0	0	0	0	0	0
SEC_TODAY	REAL	VAR_GLOBAL	RTU Seconds since Midnight			0	0	0	0	0	0
EAL5501_MAINS_ALM	BOOL	VAR_GLOBAL	"Mains Failure, w/ 60s off delay"			0	0	0	0	0	0
EAL5502_BATCH_ALM	BOOL	VAR_GLOBAL	"Battery Charger Failure, w/ 60s off delay"			0	0	0	0	0	0
XA8000_SMOALM_ALM	BOOL	VAR_GLOBAL	"Smoke Alarm, w/ 60s off delay"			0	0	0	0	0	0
ZAO9700_SITACC_ALM	BOOL	VAR_GLOBAL	"Site Accessed, w/ 60s off delay"			0	0	0	0	0	0
ZAO9705_HUTACC_ALM	BOOL	VAR_GLOBAL	"Control Hut Accessed, w/ 60s off delay"			0	0	0	0	0	0
HS0001D_MAINT_REM	BOOL	VAR_GLOBAL	Maintenance Flag set in Experion		0	0	0	0	0	0	0
FORCE_DEBUG	BOOL	VAR_GLOBAL	Determine whether any variable has been forced from the MP Debug			0	0	0	0	0	0
MODE_PLC	BOOL	VAR_GLOBAL	Determine whether the PLC is Running (0) or has stopped/halted (1)			0	0	0	0	0	0
MLV6401_OPFAIL	BOOL	VAR_GLOBAL	"If Output command is given, and not executed, an output fail alarm is generated"			0	0	0	0	0	0
UA6401_FTC	BOOL	VAR_GLOBAL	Fail to Close Alarm for SCADA			0	0	0	0	0	0
UA6401_FTO	BOOL	VAR_GLOBAL	Fail to Close Alarm for SCADA			0	0	0	0	0	0
UA6414_FTC	BOOL	VAR_GLOBAL	Fail to Close Alarm for SCADA			0	0	0	0	0	0
UA6414_FTO	BOOL	VAR_GLOBAL	Fail to Close Alarm for SCADA			0	0	0	0	0	0
ADDR245	REAL	VAR_GLOBAL				0	0	0	0	0	0
ADDR247	REAL	VAR_GLOBAL				0	0	0	0	0	0
ADDR249	REAL	VAR_GLOBAL				0	0	0	0	0	0
ADDR251	REAL	VAR_GLOBAL				0	0	0	0	0	0
ADDR253	REAL	VAR_GLOBAL				0	0	0	0	0	0
ADDR255	REAL	VAR_GLOBAL				0	0	0	0	0	0
ADDR257	REAL	VAR_GLOBAL				0	0	0	0	0	0
ADDR259	REAL	VAR_GLOBAL				0	0	0	0	0	0
ADDR451	REAL	VAR_GLOBAL				0	0	0	0	0	0
ADDR82	BOOL	VAR_GLOBAL				0	0	0	0	0	0
HeartBeat_counter	BOOL	VAR_GLOBAL				0	0	0	0	0	0
UA6401B_TIMEOUT_DERV	BOOL	VAR_GLOBAL				0	0	0	0	0	0
MLV6401_OP_DERV	BOOL	VAR_GLOBAL				0	0	0	0	0	0
MLV6401_CLOSE_DERV	BOOL	VAR_GLOBAL	Valve close limit			0	0	0	0	0	0
